100-ball cricket
10K run
2x2x2
3x3 basketball
3x3x3
43-Man Squamish
4x4x4
5K run
5x5x5
6x6x6
7x7x7
Abseiling
Acrobatic gymnastics
Adventure racing
Aerial hoop
Aerial silks
Aerials
Aerobatics
Aerobic gymnastics
AFLX
Aggressive inline skating
Aid climbing
Aiki-jūjutsu
Aikido
Air guitar
Air hockey
Air racing
Airsoft
Aizkolaritza
Alpine skiing
Alpine skiing combined
American flag rugby
American football
American handball
American Kenpo
Angling
Apnoea finswimming
Aquathlon
Archery
Arctic sports
Arena football
Arimaa
Arm wrestling
Artistic billiards
Artistic cycling
Artistic gymnastics
Artistic pool
Artistic roller skating
Association football
Athletics
Australian football
Australian handball
Austus
Auto Race
Autocross
Autograss
Axe throwing
Ba game
Backgammon
Backpacking
Backstroke
Badminton
Bagatelle
Baguazhang
Bajiquan
Balance beam
Balkline
Ball
Ball badminton
Ball hockey
Balle à la main
Ballon au poing
Bando
Bandy
Banger racing
Bank pool
Banzai skydiving
Bar billiards
Bareback Bronc Riding
Barrel jumping
Barrel racing
Bartitsu
BASE jumping
Baseball
Baseball pocket billiards
BASEketball
Basketball
Basque pelota
Basque traditional weightlifting
Bass fishing
Bat and trap
Baton twirling
Battle royale game
Battledore and shuttlecock
Battōjutsu
Beach basketball
Beach golf
Beach handball
Beach rugby
Beach soccer
Beach tennis
Beach volleyball
Beagling
Beer Pong
Benchrest shooting
Biathlon
Bicycle polo
Bifins
Big game hunting
Big-game fishing
Biribol
Blackball
Blind cricket
Blitzball
BMX
Bo-taoshi
Boar hunting
Board track racing
Boardercross
Bobsleigh
Bocce
Bocce volo
Boccia
Bodyboarding
Bodybuilding
Boffer fighting
Bojutsu
Bokator
Bolas criollas
Boli Khela
Bossaball
Bottle pool
Bouldering
Boules
Bowling
Bowlliards
Bowls
Box lacrosse
Boxing
Brännboll
Brazilian jiu-jitsu
Breakaway Roping
Breakdancing
Breaststroke
British baseball
British Bulldog
Brockian Ultra-Cricket
Bronc Riding
Broomball
Buhurt
Bujinkan
Bullriding
Bullseye shooting
Bumper pool
Bungee jumping
Bunnock
Bushwhacking
Butterfly stroke
Butts Up
Buzkashi
Caid
Calcio Fiorentino
Calisthenics
Calva
Calvinball
Cammag
Camogie
Campdrafting
Camping
Can Jam
Canadian football
Candlepin bowling
Canne de combat
Canoe polo
Canoeing
Canyoning
Capoeira
Capture the flag
Card stacking
Cardboard Tube Fighting
Carom billiards
Casterboarding
Casting
Catch wrestling
Cestoball
Chariot racing
Charreada
Checkers
Cheese rolling
Chess
Chess boxing
Chess960
Chicago
Chicken fight
Chilean rodeo
Chinese checkers
Chinese handball
Chinlone
Choi Kwang-Do
Chuckwagon racing
Chun Kuk Do
Cirit
Classic poker
Clay pigeon shooting
Cliff diving
Clock golf
Club
Club cricket
Cluster ballooning
Cnapan
Coastal and ocean rowing
